group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reads,1000,queries,1000,elements,1494500.0,ns,3
reads,1000,queries,1000,elements,3066200.0,ns,6
reads,1000,queries,1000,elements,4665000.0,ns,9
reads,1000,queries,1000,elements,6165800.0,ns,12
reads,1000,queries,1000,elements,7618800.0,ns,15
reads,1000,queries,1000,elements,8873700.0,ns,18
reads,1000,queries,1000,elements,9794900.0,ns,21
reads,1000,queries,1000,elements,11133500.0,ns,24
reads,1000,queries,1000,elements,12877600.0,ns,27
reads,1000,queries,1000,elements,14519600.0,ns,30
reads,1000,queries,1000,elements,15780600.0,ns,33
reads,1000,queries,1000,elements,17361600.0,ns,36
reads,1000,queries,1000,elements,18880500.0,ns,39
reads,1000,queries,1000,elements,19863900.0,ns,42
reads,1000,queries,1000,elements,21902800.0,ns,45
reads,1000,queries,1000,elements,22949900.0,ns,48
reads,1000,queries,1000,elements,24754700.0,ns,51
reads,1000,queries,1000,elements,25870100.0,ns,54
reads,1000,queries,1000,elements,26899700.0,ns,57
reads,1000,queries,1000,elements,27727900.0,ns,60
reads,1000,queries,1000,elements,31435800.0,ns,63
reads,1000,queries,1000,elements,30968300.0,ns,66
reads,1000,queries,1000,elements,32611500.0,ns,69
reads,1000,queries,1000,elements,37686600.0,ns,72
reads,1000,queries,1000,elements,35744100.0,ns,75
reads,1000,queries,1000,elements,37097600.0,ns,78
reads,1000,queries,1000,elements,38788000.0,ns,81
reads,1000,queries,1000,elements,40817600.0,ns,84
reads,1000,queries,1000,elements,41302800.0,ns,87
reads,1000,queries,1000,elements,42538800.0,ns,90
reads,1000,queries,1000,elements,43744600.0,ns,93
reads,1000,queries,1000,elements,45121200.0,ns,96
reads,1000,queries,1000,elements,46619500.0,ns,99
reads,1000,queries,1000,elements,48875000.0,ns,102
reads,1000,queries,1000,elements,49652300.0,ns,105
reads,1000,queries,1000,elements,51977600.0,ns,108
reads,1000,queries,1000,elements,52199500.0,ns,111
reads,1000,queries,1000,elements,54908300.0,ns,114
reads,1000,queries,1000,elements,55073100.0,ns,117
reads,1000,queries,1000,elements,58297800.0,ns,120
reads,1000,queries,1000,elements,58321700.0,ns,123
reads,1000,queries,1000,elements,59091300.0,ns,126
reads,1000,queries,1000,elements,64433800.0,ns,129
reads,1000,queries,1000,elements,62998000.0,ns,132
reads,1000,queries,1000,elements,66581600.0,ns,135
reads,1000,queries,1000,elements,65183000.0,ns,138
reads,1000,queries,1000,elements,67721000.0,ns,141
reads,1000,queries,1000,elements,79162800.0,ns,144
reads,1000,queries,1000,elements,73500800.0,ns,147
reads,1000,queries,1000,elements,69984700.0,ns,150
reads,1000,queries,1000,elements,72485600.0,ns,153
reads,1000,queries,1000,elements,74958700.0,ns,156
reads,1000,queries,1000,elements,74081200.0,ns,159
reads,1000,queries,1000,elements,76714000.0,ns,162
reads,1000,queries,1000,elements,78359600.0,ns,165
reads,1000,queries,1000,elements,79797000.0,ns,168
reads,1000,queries,1000,elements,83473700.0,ns,171
reads,1000,queries,1000,elements,85265000.0,ns,174
reads,1000,queries,1000,elements,87760500.0,ns,177
reads,1000,queries,1000,elements,87268900.0,ns,180
reads,1000,queries,1000,elements,86420900.0,ns,183
reads,1000,queries,1000,elements,87734800.0,ns,186
reads,1000,queries,1000,elements,90288000.0,ns,189
reads,1000,queries,1000,elements,91057000.0,ns,192
reads,1000,queries,1000,elements,93880000.0,ns,195
reads,1000,queries,1000,elements,93965100.0,ns,198
reads,1000,queries,1000,elements,95589500.0,ns,201
reads,1000,queries,1000,elements,98224900.0,ns,204
reads,1000,queries,1000,elements,103911600.0,ns,207
reads,1000,queries,1000,elements,99368200.0,ns,210
reads,1000,queries,1000,elements,102245000.0,ns,213
reads,1000,queries,1000,elements,101634600.0,ns,216
reads,1000,queries,1000,elements,104118800.0,ns,219
reads,1000,queries,1000,elements,105453800.0,ns,222
reads,1000,queries,1000,elements,106902200.0,ns,225
reads,1000,queries,1000,elements,107550000.0,ns,228
reads,1000,queries,1000,elements,109503500.0,ns,231
reads,1000,queries,1000,elements,121087400.0,ns,234
reads,1000,queries,1000,elements,121060100.0,ns,237
reads,1000,queries,1000,elements,114877900.0,ns,240
reads,1000,queries,1000,elements,116667000.0,ns,243
reads,1000,queries,1000,elements,117158800.0,ns,246
reads,1000,queries,1000,elements,117895400.0,ns,249
reads,1000,queries,1000,elements,118835400.0,ns,252
reads,1000,queries,1000,elements,121986200.0,ns,255
reads,1000,queries,1000,elements,122647000.0,ns,258
reads,1000,queries,1000,elements,125715100.0,ns,261
reads,1000,queries,1000,elements,124951600.0,ns,264
reads,1000,queries,1000,elements,127390700.0,ns,267
reads,1000,queries,1000,elements,129264900.0,ns,270
reads,1000,queries,1000,elements,130165100.0,ns,273
reads,1000,queries,1000,elements,129411800.0,ns,276
reads,1000,queries,1000,elements,131331100.0,ns,279
reads,1000,queries,1000,elements,134196300.0,ns,282
reads,1000,queries,1000,elements,138379200.0,ns,285
reads,1000,queries,1000,elements,137277600.0,ns,288
reads,1000,queries,1000,elements,137423900.0,ns,291
reads,1000,queries,1000,elements,138678800.0,ns,294
reads,1000,queries,1000,elements,141409200.0,ns,297
reads,1000,queries,1000,elements,143111600.0,ns,300
