group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
writes,10000,queries,10000,elements,103075200.0,ns,2
writes,10000,queries,10000,elements,199797300.0,ns,4
writes,10000,queries,10000,elements,304397800.0,ns,6
writes,10000,queries,10000,elements,398735100.0,ns,8
writes,10000,queries,10000,elements,489846800.0,ns,10
writes,10000,queries,10000,elements,610691000.0,ns,12
writes,10000,queries,10000,elements,698890900.0,ns,14
writes,10000,queries,10000,elements,804271900.0,ns,16
writes,10000,queries,10000,elements,911605500.0,ns,18
writes,10000,queries,10000,elements,991001700.0,ns,20
